BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
REALME,BLUE,12_GB,256_GB,4.4,35999,38999,3000,7.692504936024
INFINIX,BLACK,4_GB,64_GB,4.3,9299,10999,1700,15.455950540958268
MOTOROLA,GREY,4_GB,64_GB,4.4,27999,27999,0,0.0
XIAOMI,BLUE,3_GB,32_GB,4.3,9450,9450,0,0.0
REALME,BLACK,6_GB,128_GB,4.4,17999,21999,4000,18.182644665666626
VIVO,BLUE,8_GB,256_GB,4.3,14990,14990,0,0.0
REALME,BLACK,8_GB,128_GB,4.4,26999,29999,3000,10.000333344444815
SAMSUNG,BLACK,6_GB,128_GB,4.3,27499,30499,3000,9.836388078297649
ASUS,GOLD,2_GB,16_GB,4.2,7199,7199,0,0.0
REALME,GREEN,8_GB,128_GB,4.4,20999,23999,3000,12.500520855035626
HTC,BLUE,1_GB,16_GB,4.0,6999,6999,0,0.0
APPLE,GOLD,4_GB,64_GB,4.6,73999,109900,35901,32.66696997270246
GOOGLE_PIXEL,BLACK,6_GB,128_GB,4.5,31999,31999,0,0.0
SAMSUNG,GOLD,2_GB,16_GB,4.1,5990,9499,3509,36.9407306032214
REALME,GREEN,4_GB,64_GB,4.3,11499,12999,1500,11.539349180706209
VIVO,BLUE,3_GB,16_GB,4.3,18990,20990,2000,9.52834683182468
GIONEE,BLUE,1_GB,16_GB,3.7,4899,8999,4100,45.56061784642738
SAMSUNG,WHITE,1.5_GB,8_GB,3.8,19999,19999,0,0.0
MOTOROLA,GOLD,3_GB,32_GB,3.9,14999,14999,0,0.0
INFINIX,BLACK,6_GB,128_GB,4.2,12499,14999,2500,16.66777785185679
OPPO,WHITE,4_GB,64_GB,4.5,13499,13499,0,0.0
XIAOMI,BLUE,4_GB,64_GB,4.3,10999,10999,0,0.0
REALME,BLACK,8_GB,128_GB,4.3,17999,18999,1000,5.263434917627244
VIVO,BLUE,8_GB,256_GB,5.0,44990,44990,0,0.0
LG,BLACK,4_GB,64_GB,4.4,50000,50000,0,0.0
GIONEE,BLUE,4_GB,32_GB,4.0,8750,8750,0,0.0
APPLE,GOLD,3_GB,32_GB,4.5,36999,37900,901,2.3773087071240107
GIONEE,GREY,1_GB,16_GB,3.8,3990,3990,0,0.0
LG,BLACK,4_GB,64_GB,4.2,22990,55000,32010,58.2
REALME,BLUE,8_GB,128_GB,4.3,27999,29999,2000,6.666888896296544
SAMSUNG,GOLD,1.5_GB,8_GB,4.1,8090,8090,0,0.0
XIAOMI,GREEN,8_GB,128_GB,4.3,28999,33999,5000,14.706314891614458
OPPO,BLUE,4_GB,64_GB,4.4,14990,18990,4000,21.0637177461822
REALME,BLACK,8_GB,128_GB,4.4,19999,21999,2000,9.091322332833313
NOKIA,OTHERS,6_GB,64_GB,4.1,20999,20999,0,0.0
SAMSUNG,BLUE,2_GB,16_GB,3.9,21999,21999,0,0.0
SAMSUNG,BLUE,4_GB,64_GB,4.2,12499,14499,2000,13.794054762397408
SAMSUNG,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.1,2815,2815,0,0.0
POCO,BLUE,3_GB,32_GB,4.3,7999,9999,2000,20.00200020002
NOKIA,BROWN,4_GB,64_GB,4.0,39000,39000,0,0.0
APPLE,GREY,4_GB,64_GB,4.6,73999,109900,35901,32.66696997270246
REALME,BLUE,4_GB,64_GB,4.5,10999,10999,0,0.0
ASUS,WHITE,2_GB,16_GB,4.1,7499,7499,0,0.0
REALME,RED,3_GB,32_GB,4.5,9990,9990,0,0.0
XIAOMI,BLACK,3_GB,32_GB,4.4,8389,8389,0,0.0
HTC,RED,1_GB,16_GB,4.0,12400,12400,0,0.0
INFINIX,BLUE,4_GB,64_GB,4.4,11999,11999,0,0.0
REALME,GREEN,8_GB,128_GB,4.5,16999,17999,1000,5.555864214678594
VIVO,GOLD,6_GB,64_GB,4.5,25990,25990,0,0.0
SAMSUNG,GOLD,1_GB,8_GB,4.0,7550,7550,0,0.0
GOOGLE_PIXEL,BLACK,4_GB,128_GB,4.6,92000,92000,0,0.0
OPPO,GREEN,6_GB,128_GB,4.5,17990,29990,12000,40.01333777925976
SAMSUNG,BLUE,6_GB,128_GB,3.9,16499,17999,1500,8.333796322017891
OPPO,GREEN,6_GB,128_GB,4.4,17990,23990,6000,25.01042100875365
SAMSUNG,BLUE,8_GB,128_GB,4.3,25999,31999,6000,18.75058595581112
ASUS,BLUE,3_GB,32_GB,4.3,13199,13199,0,0.0
APPLE,GOLD,2_GB,32_GB,4.5,24999,31500,6501,20.63809523809524
VIVO,BLACK,6_GB,64_GB,4.4,28499,34990,6491,18.55101457559303
LENOVO,BLACK,3_GB,32_GB,4.1,7490,11499,4009,34.86390120880076
APPLE,GREEN,4_GB,512_GB,4.6,94900,99900,5000,5.005005005005005
SAMSUNG,WHITE,8_GB,128_GB,4.5,37499,40999,3500,8.536793580331228
XIAOMI,GOLD,2_GB,32_GB,4.3,7699,7699,0,0.0
XIAOMI,BLUE,6_GB,64_GB,4.3,16999,16999,0,0.0
VIVO,BLACK,2_GB,16_GB,4.4,7990,7990,0,0.0
OPPO,OTHERS,8_GB,128_GB,4.3,29990,35990,6000,16.67129758266185
REALME,SILVER,4_GB,64_GB,4.3,10499,12999,2500,19.232248634510345
NOKIA,BLACK,LESS_THAN_1GB,EXPANDABLE,4.2,1900,1900,0,0.0
XIAOMI,RED,4_GB,64_GB,4.4,12499,12499,0,0.0
REALME,BLUE,4_GB,64_GB,4.5,17999,17999,0,0.0
APPLE,GREY,2_GB,64_GB,4.5,49999,49999,0,0.0
APPLE,RED,4_GB,128_GB,4.6,54900,54900,0,0.0
